Date,High,Low,Mid,Last,Bid,Ask,Volume
2016-03-14,14.95,11.4,12.9325,12.925,12.925,12.94,22922.93764182
2016-03-15,13.421,11.607,12.9665,12.765,12.924,13.009,18157.37851679
2016-03-16,13.89,12.621,12.82,12.8,12.8,12.84,5431.13940877
2016-03-17,12.893,10.436,11.245,11.368,11.172,11.318,25158.10308356
2016-03-18,11.2,8.338,10.8155,10.75,10.751,10.88,46391.43618538
2016-03-19,11.17,9.776,10.1925,10.212,10.117,10.268,21406.58569194
2016-03-20,10.881,9.559,10.0955,10.07,10.055,10.136,9491.89017138
2016-03-21,11.94,10.07,11.846,11.877,11.808,11.884,10952.34221118
2016-03-22,12.048,11.075,11.514,11.572,11.478,11.55,8631.58733915
2016-03-23,12.376,11.201,12.3355,12.35,12.321,12.35,7411.45506142
2016-03-24,12.47,10.679,11.1605,11.199,11.131,11.19,14958.64319159
2016-03-25,11.353,10.52,10.663,10.671,10.655,10.671,12659.38673355
2016-03-26,11.2,10.58,11.0115,10.99,10.981,11.042,4570.80139857
2016-03-27,10.981,10.172,10.393,10.4,10.39,10.396,15562.67504531
2016-03-28,11.938,10.39,11.7285,11.76,11.697,11.76,22518.31671611
2016-03-29,11.883,11.365,11.747,11.64,11.735,11.759,13709.3947605
2016-03-30,12.3,11.442,11.9225,11.894,11.894,11.951,10593.79680042
2016-03-31,12.015,11.29,11.406,11.407,11.405,11.407,9284.02208191
2016-04-01,11.942,11.386,11.655,11.624,11.623,11.687,6573.58160783
2016-04-02,11.765,11.426,11.6685,11.761,11.612,11.725,3476.84293987
2016-04-03,11.76,11.4,11.62,11.749,11.61,11.63,5386.55111368
2016-04-04,11.665,10.881,11.125,11.15,11.1,11.15,11106.50986981
2016-04-05,11.15,9.7,10.4475,10.45,10.435,10.46,15047.40932675
2016-04-06,10.962,10.2,10.8045,10.8,10.79,10.819,11571.58205696
2016-04-07,10.847,9.405,10.1105,10.121,10.088,10.133,14506.19119368
2016-04-08,10.34,9.6,9.7125,9.74,9.71,9.715,7570.46608331
2016-04-09,10.197,9.0,9.125,9.25,9.09,9.16,18785.11794027
2016-04-10,9.43,7.52,8.9735,9.029,8.876,9.071,52139.8005849
2016-04-11,8.9399,8.01,8.698,8.728,8.68,8.716,18299.71482432
2016-04-12,8.699,7.211,7.438,7.511,7.373,7.503,16960.56839222
2016-04-13,8.8,6.855,8.12875,8.1234,8.102,8.1555,42522.70714601
2016-04-14,8.86,8.0,8.4892,8.52,8.4664,8.512,10629.70113901
2016-04-15,8.69,8.1,8.2495,8.23,8.23,8.269,8743.30724675
2016-04-16,8.45,8.1829,8.41,8.421,8.398,8.422,7381.17701302
2016-04-17,10.899,8.422,9.4815,9.499,9.464,9.499,29363.3231632
2016-04-18,9.55,8.441,8.9145,8.942,8.908,8.921,11233.91687882
2016-04-19,9.379,8.657,8.6774,8.713,8.642,8.7128,9278.04573739
2016-04-20,9.2,8.3501,8.5504,8.491,8.531,8.5698,49743.09751856
2016-04-21,8.8,8.0,8.08755,8.0671,8.0671,8.108,13241.51362693
2016-04-22,8.409,7.73,7.90875,7.8855,7.8855,7.932,23176.92225531
2016-04-23,8.8,7.79,8.371,8.3337,8.331,8.411,30931.19000671
2016-04-24,8.5,8.01,8.0371,8.051,8.0232,8.051,15021.17817983
