Date,High,Low,Mid,Last,Bid,Ask,Volume
2020-10-15,77.386,47.072,61.7695,61.778,61.581,61.958,2705.68130225
2020-10-16,76.804,39.191,43.58,43.876,43.447,43.713,7223.8869674
2020-10-17,50.649,40.668,42.2865,42.18,42.21,42.363,2850.56099483
2020-10-18,42.658,32.01,32.168,32.241,32.117,32.219,2401.52158679
2020-10-19,34.922,29.96,33.8475,33.811,33.81,33.885,23383.66763239
2020-10-20,34.18,30.2,30.8595,30.88,30.799,30.92,2403.22440186
2020-10-21,31.887,27.288,27.593,27.686,27.446,27.74,3484.01774284
2020-10-22,27.686,22.72,23.2965,23.287,23.249,23.344,4766.96491716
2020-10-23,24.511,20.616,23.7935,23.861,23.726,23.861,11922.19112534
2020-10-24,26.815,22.311,26.082,26.13,26.03,26.134,15431.83979048
2020-10-25,37.757,25.548,37.3475,37.103,37.233,37.462,15608.76590726
2020-10-26,40.556,31.977,32.7355,32.799,32.639,32.832,10599.92585531
2020-10-27,37.705,32.897,35.0565,35.184,34.949,35.164,4625.62305911
2020-10-28,36.46,32.76,33.51,33.629,33.43,33.59,1991.60347253
2020-10-29,34.144,31.835,32.7075,32.697,32.625,32.79,2584.28479507
2020-10-30,32.83,28.561,29.02,29.079,28.95,29.09,2921.74701219
2020-10-31,32.397,28.37,31.47,31.41,31.41,31.53,2742.8174491199998
2020-11-01,31.657,30.62,31.1085,31.22,31.027,31.19,376.25112303
2020-11-02,31.953,29.36,29.4515,29.412,29.373,29.53,887.3497715
2020-11-03,29.651,27.921,28.7055,28.828,28.62,28.791,1090.66457426
2020-11-04,29.441,28.226,28.9045,28.832,28.835,28.974,1074.98874485
2020-11-05,30.196,28.394,29.177,29.338,29.134,29.22,713.02718723
2020-11-06,33.182,29.065,32.11,32.03,32.03,32.19,8559.71750024
2020-11-07,33.294,29.46,29.738,29.679,29.681,29.795,4007.5917748800002
2020-11-08,31.156,29.82,30.462,30.708,30.38,30.544,527.79477718
2020-11-09,32.36,30.36,30.876,30.753,30.753,30.999,1439.73546673
2020-11-10,31.296,30.3,30.414,30.437,30.35,30.478,865.08098523
2020-11-11,31.014,29.74,29.6845,29.748,29.621,29.748,1915.71173456
2020-11-12,30.37,28.754,29.294,29.388,29.22,29.368,2474.97805289
2020-11-13,30.04,29.114,29.1,29.149,29.04,29.16,454.55710705
2020-11-14,29.484,28.487,29.1855,29.25,29.13,29.241,4264.55017987
2020-11-15,29.29,27.521,27.4495,27.521,27.4,27.499,3078.38504679
2020-11-16,28.01,27.23,27.435,27.401,27.38,27.49,956.15126891
2020-11-17,29.932,27.31,29.765,29.71,29.72,29.81,2126.80504116
2020-11-18,29.698,27.682,28.7655,28.84,28.69,28.841,1515.65450653
2020-11-19,29.299,28.34,28.8645,28.908,28.8,28.929,349.45067716
2020-11-20,29.932,28.671,29.025,29.07,28.98,29.07,2041.30319338
2020-11-21,30.8,28.79,30.1105,30.127,30.041,30.18,9020.23832025
2020-11-22,30.1,28.707,29.071,29.152,28.99,29.152,2568.01522429
2020-11-23,29.4,28.73,29.1265,29.129,29.063,29.19,1576.71770813
2020-11-24,30.79,29.001,29.7475,29.809,29.68,29.815,6547.69452803
2020-11-25,35.595,29.52,31.4935,31.619,31.41,31.577,18982.96556103
2020-11-26,31.946,28.892,29.7935,29.909,29.707,29.88,12682.51290089
2020-11-27,30.398,29.396,29.8295,30.049,29.75,29.909,8035.20610716
2020-11-28,30.46,29.69,29.917,30.004,29.86,29.974,427.82875973
2020-11-29,30.3,29.8,30.13,30.07,30.07,30.19,887.16855094
2020-11-30,30.9,30.073,30.474,30.518,30.419,30.529,11165.52867606
2020-12-01,31.781,29.909,30.279,30.285,30.22,30.338,8552.21302073
2020-12-02,31.094,30.22,30.6935,30.623,30.66,30.727,7503.98055986
2020-12-03,30.87,30.215,30.4785,30.488,30.44,30.517,2334.83420745
2020-12-04,30.579,28.98,29.02,29.112,28.97,29.07,699.14652232
2020-12-05,30.219,28.99,29.8645,29.907,29.81,29.919,369.67961654
2020-12-06,30.042,29.04,29.335,29.334,29.31,29.36,2107.76966602
2020-12-07,33.198,29.309,30.431,30.39,30.39,30.472,11421.30273372
2020-12-08,30.937,29.802,29.9005,30.01,29.821,29.98,2342.40534317
2020-12-09,31.4,29.608,30.5445,30.69,30.5,30.589,3630.99199977
2020-12-10,32.504,30.49,30.455,30.51,30.4,30.51,1912.94947994
2020-12-11,30.753,29.821,29.9445,29.886,29.917,29.972,1978.91039399
2020-12-12,30.531,29.838,29.945,29.962,29.9,29.99,1798.02771097
2020-12-13,30.32,29.89,30.019,30.067,29.971,30.067,539.8878496
2020-12-14,30.237,29.1,29.4585,29.487,29.41,29.507,1174.25283779
2020-12-15,29.846,29.06,29.114,29.071,29.061,29.167,1227.19484082
2020-12-16,29.658,27.95,28.6025,28.462,28.519,28.686,2507.33048474
2020-12-17,29.405,28.242,28.35,28.311,28.301,28.399,1023.93175338
2020-12-18,28.921,28.291,28.4595,28.418,28.419,28.5,248.22135588
2020-12-19,28.89,28.101,28.1605,28.101,28.111,28.21,862.44199042
2020-12-20,28.472,27.91,28.2245,28.27,28.179,28.27,289.2400416
2020-12-21,28.31,24.037,25.061,24.999,24.986,25.136,4020.54111709
2020-12-22,25.476,24.4,24.6535,24.601,24.592,24.715,221.44199155
2020-12-23,24.97,21.299,22.128,21.991,22.041,22.215,2497.50054039
2020-12-24,24.222,22.006,23.4475,23.597,23.375,23.52,530.99817442
2020-12-25,24.49,23.099,24.176,24.22,24.132,24.22,858.03067315
2020-12-26,24.17,23.404,23.5245,23.579,23.48,23.569,323.65798927000003
2020-12-27,23.569,22.264,22.41,22.433,22.401,22.419,1788.34008808
2020-12-28,23.083,21.94,22.1935,22.123,22.17,22.217,4180.35950984
2020-12-29,22.207,20.01,20.2115,20.312,20.183,20.24,8687.14151667
2020-12-30,21.971,20.203,21.376,21.351,21.332,21.42,2410.70019453
2020-12-31,26.097,21.02,24.366,24.469,24.28,24.452,7773.13283576
2021-01-01,24.863,21.96,22.173,22.227,22.15,22.196,3352.42584254
2021-01-02,23.185,21.349,21.7325,21.732,21.7,21.765,6783.57870209
2021-01-03,21.895,20.96,21.5145,21.505,21.479,21.55,7170.34901214
2021-01-04,22.92,20.931,21.3695,21.296,21.323,21.416,8426.09902793
2021-01-05,22.413,20.989,21.7895,21.658,21.76,21.819,1696.67949522
2021-01-06,22.54,21.487,22.082,22.068,22.024,22.14,2814.58426281
2021-01-07,22.977,21.83,22.0785,22.114,22.043,22.114,6165.81913655
2021-01-08,22.307,21.154,21.601,21.555,21.563,21.639,2507.35469356
2021-01-09,22.631,21.348,22.1355,22.115,22.108,22.163,2114.25215973
2021-01-10,24.239,22.0,23.0295,23.076,22.995,23.064,9421.45945776
2021-01-11,23.192,21.0,21.3865,21.366,21.35,21.423,9540.38103577
2021-01-12,21.972,21.0,21.0465,21.074,21.012,21.081,614.35598719
2021-01-13,21.951,21.0,21.685,21.745,21.646,21.724,2423.75998991
2021-01-14,22.233,21.415,21.5365,21.542,21.531,21.542,736.84434745
2021-01-15,22.148,21.312,21.5355,21.568,21.505,21.566,2205.24151749
2021-01-16,25.0,21.496,22.472,22.48,22.44,22.504,15282.44496577
2021-01-17,26.003,22.49,24.7345,24.724,24.698,24.771,32698.95417887
2021-01-18,24.78,23.445,23.7965,23.83,23.762,23.831,7232.26790892
2021-01-19,24.216,22.65,22.7095,22.762,22.68,22.739,9339.65539197
2021-01-20,23.127,21.788,22.581,22.489,22.533,22.629,6612.31795715
2021-01-21,22.843,21.0,21.207,21.251,21.179,21.235,6570.50219751
