Date,High,Low,Mid,Last,Bid,Ask,Volume
2014-04-15,13.18999,11.3602,13.0371,13.1399,12.9442,13.13,37885.00185628
2014-04-16,14.1999,12.58,13.55,13.6,13.5,13.6,45478.30542042
2014-04-17,13.75,12.0,12.805249995,12.84,12.7105,12.89999999,24619.72567513
2014-04-18,12.95,11.75,12.3196,12.2501,12.2502,12.389,24038.61067588
2014-04-19,13.2499,11.817111,12.925,12.99,12.9,12.95,25058.42177632
2014-04-20,13.35,12.61,12.7363,12.66,12.6601,12.8125,11862.55928542
2014-04-21,13.2499,12.5,12.60725,12.6745,12.53,12.6845,8253.44268529
2014-04-22,12.7199,12.2801,12.31,12.3,12.3,12.32,4562.43363678
2014-04-23,12.4489,12.11,12.37,12.4,12.34,12.4,8541.79722987
2014-04-24,12.688,11.7701,12.6324,12.6389,12.627,12.6378,18427.86172935
2014-04-25,12.75,10.5701,11.0438,11.0877,11.0,11.0876,63725.46370509
2014-04-26,11.0878,10.444,10.68805,10.6063,10.6138,10.7623,32137.98542425
2014-04-27,10.81,10.021,10.1949,10.25,10.1398,10.25,20183.84287529
2014-04-28,10.4599,9.76,10.2565,10.22,10.2021,10.3109,32310.23903579
2014-04-29,10.59000001,10.0051,10.529499995,10.4934,10.49,10.56899999,15681.29090201
2014-04-30,11.1998,10.43,11.0417495,11.097999,10.9845,11.098999,23540.6887373
2014-05-01,11.49,10.8701,11.211721825,11.12,11.121,11.30244365,12649.22999799
2014-05-02,11.2599,10.751,10.8575,10.85,10.85,10.865,9174.07117872
2014-05-03,10.85,10.2601,10.426861,10.48,10.382522,10.4712,13308.12232087
2014-05-04,10.55919999,10.31,10.46,10.4,10.45,10.47,5982.02493059
2014-05-05,10.62,10.274,10.344199995,10.3039,10.3005,10.38789999,11474.62030307
2014-05-06,10.75,10.061,10.3775,10.33410001,10.335,10.42,15653.57497956
2014-05-07,11.0,10.2652,10.825,10.77,10.78,10.87,22122.94037457
2014-05-08,11.0,10.67,10.6965,10.7,10.693,10.7,7647.80354568
2014-05-10,11.232,10.86,10.8605,10.861,10.86,10.861,7531.00164316
2014-05-11,11.092,10.334,10.5095,10.451,10.452,10.567,8663.43390101
2014-05-12,10.59,10.41,10.505,10.557,10.463,10.547,5374.73801194
2014-05-13,10.58,10.381,10.5005,10.489,10.489,10.512,5264.62653883
2014-05-14,10.64,10.489,10.6225,10.625,10.62,10.625,4038.78840346
2014-05-15,10.701,10.52,10.62,10.63,10.61,10.63,5171.89305924
2014-05-16,10.64,10.5,10.546,10.51,10.512,10.58,4080.28702265
2014-05-17,10.62,10.471,10.509,10.482,10.48,10.538,2758.75987263
2014-05-18,10.548,10.32,10.405,10.324,10.36,10.45,3437.62292366
2014-05-19,10.48,10.21,10.333,10.389,10.282,10.384,5451.84594025
2014-05-20,11.0,10.28,10.849,10.8,10.8,10.898,24627.10622699
2014-05-21,10.999,10.7,10.773,10.8,10.722,10.824,5048.72542115
2014-05-22,11.25,10.59,10.8455,10.9,10.791,10.9,27308.60950892
2014-05-23,11.889,10.63,11.3235,11.3,11.3,11.347,48761.83456577
2014-05-24,11.348,11.111,11.2745,11.32,11.23,11.319,7395.91306726
