Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-05-19,0.37999,0.25,0.32691,0.318,0.318,0.33582,1885917.913897
2017-05-20,0.37199,0.2911,0.348465,0.34689,0.347,0.34993,3780992.6554341
2017-05-21,0.36998,0.32102,0.33206,0.33345,0.33008,0.33404,2630999.2182922
2017-05-22,0.3358,0.25,0.282745,0.28001,0.28001,0.28548,6383963.7951677
2017-05-23,0.34991,0.28016,0.321925,0.3209,0.32001,0.32384,3257694.0557113
2017-05-24,0.33304,0.2819,0.2901,0.29187,0.28833,0.29187,4123731.0360159
2017-05-25,0.296,0.22899,0.25105,0.25162,0.25048,0.25162,7709762.8404965
2017-05-26,0.32126,0.23,0.25166,0.25375,0.24925,0.25407,6995675.5192389
2017-05-27,0.272,0.1445,0.20172,0.20153,0.20152,0.20192,9317287.5680807
2017-05-28,0.23438,0.19,0.21829,0.21785,0.21681,0.21977,5971012.8277852
2017-05-29,0.23795,0.20194,0.224165,0.22311,0.2231,0.22523,3887445.4422517
2017-05-30,0.23128,0.19305,0.197885,0.19819,0.19615,0.19962,4003186.0435346
2017-05-31,0.244,0.17869,0.233315,0.23316,0.23279,0.23384,6305853.4165444
2017-06-01,0.3182,0.23069,0.31734,0.31699,0.317,0.31768,14986848.255085
2017-06-02,0.3291,0.26394,0.28955,0.2904,0.2891,0.29,7098320.9547143
2017-06-03,0.295,0.26016,0.26409,0.26405,0.2636,0.26458,3283983.3741034
2017-06-04,0.30249,0.26015,0.282515,0.28314,0.28173,0.2833,4644449.7439037
2017-06-05,0.29286,0.27849,0.284225,0.28471,0.28379,0.28466,1943249.0028331
2017-06-06,0.28988,0.26933,0.27846,0.27937,0.27745,0.27947,6843196.6695156
2017-06-07,0.29849,0.26839,0.27334,0.27244,0.27244,0.27424,3475284.4459108
2017-06-08,0.29576,0.26482,0.284685,0.28562,0.28384,0.28553,2400846.4395177
2017-06-09,0.2945,0.28068,0.28184,0.28274,0.28095,0.28273,2350574.4385728
2017-06-10,0.2837,0.25233,0.256165,0.25464,0.2555,0.25683,4451703.8263076
2017-06-11,0.27189,0.24987,0.26902,0.26995,0.26809,0.26995,4762675.794147
2017-06-12,0.2826,0.22001,0.237385,0.237,0.237,0.23777,8665651.4522835
