,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
4852,600000.SH,20000104,1.9649,2.0278,1.9468,2.0113,1.9468,0.0645,3.3131,44961,113946.783
4851,600000.SH,20000105,2.0113,2.0436,1.9783,1.9885,2.0113,-0.0228,-1.1336,52528,134465.427
4850,600000.SH,20000106,1.9806,2.0687,1.9704,2.0444,1.9885,0.0559,2.8112,62297,160059.798
4849,600000.SH,20000107,2.0687,2.1631,2.0546,2.1159,2.0444,0.0715,3.4974,213553,575751.082
4848,600000.SH,20000110,2.1238,2.1907,2.101,2.1435,2.1159,0.0276,1.3044,165397,450453.518
4847,600000.SH,20000111,2.1435,2.1474,2.0546,2.0609,2.1435,-0.0826,-3.8535,93908,251055.911
4846,600000.SH,20000112,2.0452,2.0452,1.9508,1.9759,2.0609,-0.085,-4.1244,352749,889867.34
4845,600000.SH,20000113,1.9665,1.9862,1.9508,1.9586,1.9759,-0.0173,-0.8756,79756,199244.304
4844,600000.SH,20000114,1.9571,1.9665,1.8808,1.9036,1.9586,-0.055,-2.8081,178619,434206.087
4843,600000.SH,20000117,1.8941,1.9224,1.8682,1.9193,1.9036,0.0157,0.8248,81015,194776.964
4842,600000.SH,20000118,1.9272,1.9327,1.8784,1.8988,1.9193,-0.0205,-1.0681,76933,185091.684
4841,600000.SH,20000119,1.8988,1.9106,1.8863,1.8981,1.8988,-0.0007,-0.0369,46584,112325.238
4840,600000.SH,20000120,1.8973,1.939,1.8957,1.9224,1.8981,0.0243,1.2802,51144,124668.176
4839,600000.SH,20000121,1.9279,1.9374,1.8941,1.9091,1.9224,-0.0133,-0.6918,81387,197523.215
4838,600000.SH,20000124,1.9036,1.9075,1.8839,1.902,1.9091,-0.0071,-0.3719,92503,222404.435
4837,600000.SH,20000125,1.902,1.9791,1.902,1.9342,1.902,0.0322,1.693,77423,191183.031
4836,600000.SH,20000126,1.935,1.9508,1.9122,1.9201,1.9342,-0.0141,-0.729,27377,67037.918
4835,600000.SH,20000127,1.9248,1.9492,1.9036,1.9342,1.9201,0.0141,0.7343,63350,154926.927
4834,600000.SH,20000128,1.935,1.9744,1.9319,1.9696,1.9342,0.0354,1.8302,123627,307633.593
4833,600000.SH,20000214,2.0452,2.1616,2.0058,2.1395,1.9696,0.1699,8.6261,237391,628039
4832,600000.SH,20000215,2.1395,2.1616,2.0176,2.02,2.1395,-0.1195,-5.5854,262677,693158.484
4831,600000.SH,20000216,2.0058,2.0098,1.9594,1.9822,2.02,-0.0378,-1.8713,190691,478863.316
4830,600000.SH,20000217,1.9862,2.0766,1.9059,1.9586,1.9822,-0.0236,-1.1906,230448,579973.766
4829,600000.SH,20000218,1.9586,1.9665,1.9114,1.9413,1.9586,-0.0173,-0.8833,96935,237689.141
4828,600000.SH,20000221,1.9468,2.0687,1.9036,2.0294,1.9413,0.0881,4.5382,255106,650679.608
4827,600000.SH,20000222,2.0357,2.0452,1.935,1.9468,2.0294,-0.0826,-4.0702,105175,264067.019
4826,600000.SH,20000223,1.935,1.9862,1.9272,1.935,1.9468,-0.0118,-0.6061,69146,171007.817
4825,600000.SH,20000224,1.935,1.9665,1.9272,1.9523,1.935,0.0173,0.8941,46481,114760.607
4824,600000.SH,20000225,1.9586,1.9641,1.9272,1.935,1.9523,-0.0173,-0.8861,58148,143173.184
4823,600000.SH,20000228,1.935,1.9862,1.9154,1.9728,1.935,0.0378,1.9535,93734,231796.184
4822,600000.SH,20000229,1.983,2.0137,1.9508,1.9799,1.9728,0.0071,0.3599,109559,275768.296
4821,600000.SH,20000301,1.9822,2.1317,1.9799,2.031,1.9799,0.0511,2.5809,417051,1096015.251
4820,600000.SH,20000302,2.0278,2.0452,1.9744,1.9995,2.031,-0.0315,-1.551,129999,330633.29
4819,600000.SH,20000303,2.0137,2.1002,2.0121,2.0452,1.9995,0.0457,2.2856,161098,420418.261
4818,600000.SH,20000306,2.0829,2.1159,2.0098,2.0137,2.0452,-0.0315,-1.5402,206162,542130.542
4817,600000.SH,20000307,1.9822,2.0687,1.9673,2.0294,2.0137,0.0157,0.7797,111329,284899.208
4816,600000.SH,20000308,2.0452,2.0593,2.0003,2.0208,2.0294,-0.0086,-0.4238,57714,148007.818
4815,600000.SH,20000309,2.0216,2.1624,1.9964,2.0766,2.0208,0.0558,2.7613,264910,704219.251
4814,600000.SH,20000310,2.0766,2.0845,2.0066,2.0153,2.0766,-0.0613,-2.9519,105700,273452.598
4813,600000.SH,20000313,2.0137,2.0436,1.9948,2.0082,2.0153,-0.0071,-0.3523,55664,142355.325
4812,600000.SH,20000314,1.9665,1.9995,1.9508,1.9995,2.0082,-0.0087,-0.4332,113752,285003.725
4811,600000.SH,20000315,1.998,1.9995,1.9665,1.9775,1.9995,-0.022,-1.1003,42200,106073.477
4810,600000.SH,20000316,1.9665,1.9728,1.9099,1.9272,1.9775,-0.0503,-2.5436,75702,187216.559
4809,600000.SH,20000317,1.9272,1.9822,1.9193,1.9555,1.9272,0.0283,1.4685,42704,106042.791
4808,600000.SH,20000320,1.9272,1.9822,1.9272,1.9681,1.9555,0.0126,0.6443,43876,109489.001
4807,600000.SH,20000321,1.9806,1.9822,1.9523,1.9665,1.9681,-0.0016,-0.0813,44099,110102.522
4806,600000.SH,20000322,1.9728,2.0223,1.9571,1.9932,1.9665,0.0267,1.3577,45220,114100.496
4805,600000.SH,20000323,1.994,2.02,1.9822,2.0066,1.9932,0.0134,0.6723,58872,149693.415
4804,600000.SH,20000324,2.0459,2.1277,2.0066,2.0066,2.0066,0,0,218564,575302.201
4803,600000.SH,20000327,2.0223,2.0656,1.998,2.0373,2.0066,0.0307,1.53,61611,158738.686
4802,600000.SH,20000328,2.0475,2.0687,1.9862,2.0058,2.0373,-0.0315,-1.5462,70742,180806.578
4801,600000.SH,20000329,2.0098,2.0216,1.9712,1.9806,2.0058,-0.0252,-1.2564,74952,189202.622
4800,600000.SH,20000330,1.9862,2.0231,1.9862,1.9964,1.9806,0.0158,0.7977,44008,111744.655
4799,600000.SH,20000331,2.0019,2.0121,1.9744,1.9838,1.9964,-0.0126,-0.6311,43204,109090.852
4798,600000.SH,20000403,1.9822,2.0058,1.9744,1.9854,1.9838,0.0016,0.0807,34984,88393.318
4797,600000.SH,20000404,1.9822,1.9822,1.9555,1.9586,1.9854,-0.0268,-1.3499,43071,107536.323
4796,600000.SH,20000405,1.9586,2.005,1.9571,1.9783,1.9586,0.0197,1.0058,34270,85948.606
4795,600000.SH,20000406,1.9783,1.9972,1.9712,1.9909,1.9783,0.0126,0.6369,29276,73823.696
4794,600000.SH,20000407,1.9995,2.0373,1.9964,2.0208,1.9909,0.0299,1.5018,60063,154300.91
4793,600000.SH,20000410,2.0231,2.0373,2.0003,2.009,2.0208,-0.0118,-0.5839,33278,85045.43
4792,600000.SH,20000411,2.0137,2.0514,1.998,2.0105,2.009,0.0015,0.0747,62139,159922.397
4791,600000.SH,20000412,2.0153,2.0452,1.994,2.0019,2.0105,-0.0086,-0.4278,46344,119159.205
4790,600000.SH,20000413,2.0019,2.0357,1.998,2.0137,2.0019,0.0118,0.5894,42065,107735.819
4789,600000.SH,20000414,2.02,2.0609,2.0137,2.0318,2.0137,0.0181,0.8988,112505,291591.767
4788,600000.SH,20000417,2.0452,2.0609,1.9806,1.9901,2.0318,-0.0417,-2.0524,79769,204556.962
4787,600000.SH,20000418,1.9909,2.0019,1.9673,1.9917,1.9901,0.0016,0.0804,38945,98184.097
4786,600000.SH,20000419,2.0019,2.0278,1.9814,1.9901,1.9917,-0.0016,-0.0803,27556,69942.881
4785,600000.SH,20000420,1.9901,2.0058,1.9814,1.9917,1.9901,0.0016,0.0804,36367,91864.727
4784,600000.SH,20000421,1.9665,2.005,1.9665,1.9783,1.9917,-0.0134,-0.6728,39655,99685.689
4783,600000.SH,20000424,1.9783,1.9822,1.9468,1.9523,1.9783,-0.026,-1.3143,59138,147290.986
4782,600000.SH,20000425,1.9515,1.9736,1.9492,1.9539,1.9523,0.0016,0.082,23095,57489.169
4781,600000.SH,20000426,1.9571,2.0113,1.9508,1.9665,1.9539,0.0126,0.6449,35594,89234.644
4780,600000.SH,20000427,1.9665,1.9822,1.9413,1.946,1.9665,-0.0205,-1.0425,32842,81550.296
